2026-02-22 19:03:29,022 | INFO | Network IDS Initialized
2026-02-22 19:03:29,298 | INFO | IDS Started
2026-02-22 19:05:13,792 | INFO | IDS Stopped
2026-02-22 19:06:05,408 | INFO | Network IDS Initialized
2026-02-22 19:06:05,412 | INFO | IDS Started
2026-02-22 19:22:44,292 | INFO | Network IDS Initialized
2026-02-22 19:22:44,300 | INFO | IDS Started
2026-02-22 19:50:03,081 | INFO | Network IDS Initialized
2026-02-22 19:50:03,084 | INFO | IDS Started
2026-02-22 20:10:12,038 | INFO | Network IDS Initialized
2026-02-22 20:10:12,038 | INFO | IDS Started
2026-02-22 20:26:32,034 | INFO | Network IDS Initialized
2026-02-22 20:26:32,034 | INFO | IDS Started
2026-02-23 07:41:54,070 | INFO | Network IDS Initialized
2026-02-23 07:41:54,391 | INFO | IDS Started
2026-04-11 08:59:02,794 | INFO | Network IDS Initialized
2026-04-11 08:59:02,997 | INFO | IDS Started
2026-05-03 17:50:18,152 | INFO | Network IDS Initialized
2026-05-03 17:50:18,164 | INFO | Started on interface \Device\NPF_{52C58572-3FAA-49DA-AC76-BCE63511F6B7}
2026-05-03 17:50:18,164 | INFO | IDS Started
2026-05-03 17:50:25,006 | INFO | IDS Stopped
2026-05-03 17:50:25,049 | INFO | Flushed remaining PCAP data
2026-05-03 17:50:37,833 | INFO | Network IDS Initialized
2026-05-03 17:50:37,870 | INFO | IDS Started
